,transaction_id,payer_entity_id,payee_entity_id,payer_account,payee_account,opening_balance,closing_balance,day,day_name,month,month_name,year,day_of_week,week_of_month,trans_date,category_label,category,predicted_category_label,predicted_category,category_created_at,category_created_by,category_last_updated_at,category_last_updated_by,type_code,type_code_trans,type_code_level,type_code_desc,bank_ref,cust_ref,amount,order_of_magnitude
0,aeba3b84-8212-41fd-89d7-42c05c5efee7,a86a8817-2f91-5ce2-a790-efc811965044,,ddf3432b-0af8-5782-8ef8-d66cf8abc9fb,,0,0,1,Friday,1,January,2016,5,1,20:30.2,Telephone Bill,8bbc3ff1-47ae-4424-a979-6e112a31dc82,,,,,,,409,debit,detail,Debit (Any Type),test_bank_ref-491627,491627,465.03,3
1,847c1958-622c-415e-b811-3d0c4d5a18ff,a86a8817-2f91-5ce2-a790-efc811965044,,78c5bb38-be62-574f-8384-41fe91c7f365,,0,0,3,Sunday,1,January,2016,7,2,20:30.2,Insurance,b9b5b645-9605-4547-a7b8-753ba687904b,,,,,,,409,debit,detail,Debit (Any Type),test_bank_ref-822623,822623,1500,4
2,a8788e56-87a2-434a-b2f7-e4e9c520fb06,a86a8817-2f91-5ce2-a790-efc811965044,,ceb275ed-4066-5180-b8a1-80f2915ba1c4,,0,0,4,Monday,1,January,2016,1,2,20:30.2,Tax,ba7d6220-fb9f-4653-9572-bf105471782c,,,,,,,409,debit,detail,Debit (Any Type),test_bank_ref-890096,890096,422.95,3
3,0e6d86c2-2f28-4a66-8632-23264357f733,a86a8817-2f91-5ce2-a790-efc811965044,,2d7ac4af-e26f-559d-97aa-ab8b23e26280,,0,0,6,Wednesday,1,January,2016,3,2,20:30.2,Office Rent,e1b6f1ca-11dc-4420-8d6a-61e99bec1e5e,,,,,,,409,debit,detail,Debit (Any Type),test_bank_ref-556158,556158,5500,4
4,dbfd6b1a-1e53-4328-9723-54a71d7a054c,a86a8817-2f91-5ce2-a790-efc811965044,,2d7ac4af-e26f-559d-97aa-ab8b23e26280,,0,0,7,Thursday,1,January,2016,4,2,20:30.2,Dinner,378bf388-77a3-4b9e-865d-82819b6fdcac,,,,,,,409,debit,detail,Debit (Any Type),test_bank_ref-944510,944510,75.34,2
5,cf96182b-d8b0-445a-84b9-a6d06c26fe3a,,a86a8817-2f91-5ce2-a790-efc811965044,,133341eb-2168-561e-ae50-04a7bc312a3e,0,0,9,Saturday,1,January,2016,6,2,20:30.2,Lottery Price,b2d9d221-9632-44af-9071-fbaee5dc80cb,,,,,,,108,credit,detail,Credit (Any Type),test_bank_ref-898773,898773,631.32,3
6,24199fd2-eb3e-48f0-840d-bac5cd12df09,,a86a8817-2f91-5ce2-a790-efc811965044,,ddf3432b-0af8-5782-8ef8-d66cf8abc9fb,0,0,10,Sunday,1,January,2016,7,3,20:30.2,Sales,6664197f-5664-4e3a-86c8-c10b647ba2bd,,,,,,,108,credit,detail,Credit (Any Type),test_bank_ref-542006,542006,221656.45,6
7,5c2e0c56-93dc-45ac-aa06-052ab165619f,a86a8817-2f91-5ce2-a790-efc811965044,,ddf3432b-0af8-5782-8ef8-d66cf8abc9fb,,0,0,17,Sunday,1,January,2016,7,4,20:30.2,Electricity Bill,a228df62-f477-4bab-9cbd-7695cbb4f2cf,,,,,,,409,debit,detail,Debit (Any Type),test_bank_ref-370550,370550,975.29,3
8,6d3b86b1-c78c-4355-bf0c-bbcf60efeef8,,a86a8817-2f91-5ce2-a790-efc811965044,,da0cfb0c-7c6b-5182-bc3a-64115cc3bb13,0,0,20,Wednesday,1,January,2016,3,4,20:30.2,Interest,f14de45c-a746-4403-bd39-18dc4021e8d1,,,,,,,108,credit,detail,Credit (Any Type),test_bank_ref-806623,806623,3.88,1
9,883833e1-ce95-4ddf-9a3e-52037628abd6,a86a8817-2f91-5ce2-a790-efc811965044,,2d7ac4af-e26f-559d-97aa-ab8b23e26280,,0,0,21,Thursday,1,January,2016,4,4,20:30.2,Office Supplies,fc9093b9-7898-4bd8-a702-d65a3292e601,,,,,,,409,debit,detail,Debit (Any Type),test_bank_ref-521423,521423,142.27,3
